1,20
2,63
3,43
4,29
5,63
6,35
7,83
8,96
9,7
10,25
11,30
12,23
13,75
14,29
15,80
16,23
17,14
18,36
19,85
20,10
21,75
22,4
23,33
24,85
25,32
26,94
27,26
28,90
29,40
30,67
31,11
32,75
33,3
34,38
35,65
36,88
37,61
38,30
39,76
40,68
41,68
42,65
43,97
44,86
45,47
46,63
47,46
48,92
49,2
50,3
51,22
52,7
53,29
54,33
55,31
56,81
57,70
58,45
59,27
60,11
61,31
62,56
63,92
64,58
65,76
66,9
67,9
68,73
69,2
70,70
71,93
72,91
73,28
74,65
75,49
76,62
77,60
78,90
79,97
80,10
81,68
82,55
83,42
84,40
85,15
86,63
87,8
88,36
89,43
90,74
91,74
92,76
93,3
94,37
95,25
96,43
97,70
98,17
99,49
100,33
